POINTNUM,BAYNUM,POINTNAME,LAT,LON,Hg,Pv,HgPupSurveySite,PvPupSurveySite
139,5,Alpha 1,44.47735189,-67.62454427,,Y,,Y
299,8,Alpha 2,44.19111735,-68.44385579,,Y,,Y
331,9,Andrews Island,44.14502333,-68.69981333,,Y,,Y
74,3,Anguilla Island,44.56602,-67.47262333,Y,Y,,Y
845,19,Arey Ledges,44.02049967,-68.83358561,,Y,,Y
300,8,Asa Island,44.19025472,-68.45304362,,Y,,Y
255,7,Ash Island,44.47439,-68.14454,,Y,,Y
945,22,Ash Island Ledge,44.034445,-69.073055,,Y,,Y
846,19,Babbidge Island Ledges,44.13788333,-68.78291667,,Y,,Y
1,1,Baileys Mistake,44.761845,-67.05747,,Y,,Y
2,1,Baileys Mistake Ledge,44.75913833,-67.05658833,,Y,,Y
618,14,Bald Head Ledge,43.69854667,-69.85344167,,Y,,Y
185,6,Bald Rock,44.4,-67.951,,Y,,Y
256,7,Bald Rock 1,44.42168,-68.20888667,,Y,,Y
278,7,Bald Rock Ledge,44.41661667,-68.21541667,,Y,,Y
75,3,Ballast Island Rock,44.561125,-67.55024333,,Y,,Y
555,26,Ballastone Ledge,43.77214333,-69.923445,,Y,,Y
774,18,Bar Island,44.26716667,-68.714185,,Y,,Y
673,16,Bar Island 2,43.91901667,-69.29516667,,Y,,Y
43,2,Bar Island Ledge,44.64513333,-67.36741667,,Y,,Y
140,5,Bar Island Ledge,44.50804833,-67.69904333,,Y,,Y
187,6,Bar Ledge,44.39,-67.889,,Y,,Y
332,9,Bare Island Rocks,44.13602667,-68.635775,,Y,,Y
775,18,Barred Island,44.26675,-68.83268333,,Y,,Y
776,18,Barred Island 2,44.23706667,-68.8036,,Y,,Y
777,18,Barred Island Ledge 1,44.2273,-68.8114,,Y,,Y
778,18,Barred Island Ledge 1 South,44.22378333,-68.8122,,Y,,Y
333,9,Barter Island Ledge,44.11904667,-68.63418,,Y,,Y
847,25,Barton Island Ledge,44.06743333,-68.86828333,,Y,,Y
188,6,Barton Ledge,44.524,-67.767,,Y,,Y
544,13,Basket Island,43.734305,-70.16454333,Y,Y,,Y
141,5,Batson Island Ledge,44.47201667,-67.66451667,,Y,,Y
505,12,Batson River Ledge,43.352925,-70.428735,,Y,,Y
97,4,Bay Island 4 Rock,44.532,-67.552,,Y,,Y
334,9,Bay Ledge 1,44.09100333,-68.658455,,Y,,Y
335,9,Bay Ledge 2,44.14177167,-68.69864167,,Y,,Y
336,9,Bay Ledge 3,44.14890167,-68.69323667,,Y,,Y
