Site,Year,Pups
Green Island,2005,33
Monomoy,2005,1
Muskeget,2005,992
Nomans,2005,*
Seal Island,2005,365
Wooden Ball,2005,*
Great Point,2005,*
Matinicus Rock,2005,*
Green Island,2006,43
Monomoy,2006,8
Muskeget,2006,868
Nomans,2006,*
Seal Island,2006,239
Wooden Ball,2006,*
Great Point,2006,*
Matinicus Rock,2006,*
Green Island,2007,57
Monomoy,2007,9
Muskeget,2007,1704
Nomans,2007,*
Seal Island,2007,364
Wooden Ball,2007,*
Great Point,2007,*
Matinicus Rock,2007,*
Green Island,2008,59
Monomoy,2008,2
Muskeget,2008,2095
Nomans,2008,*
Seal Island,2008,466
Wooden Ball,2008,*
Great Point,2008,*
Matinicus Rock,2008,*
Green Island,2009,48
Monomoy,2009,68
Muskeget,2009,**
Nomans,2009,*
Seal Island,2009,**
Wooden Ball,2009,*
Great Point,2009,*
Matinicus Rock,2009,*
Green Island,2010,51
Monomoy,2010,154
Muskeget,2010,1841
Nomans,2010,*
Seal Island,2010,**
Wooden Ball,2010,*
Great Point,2010,*
Matinicus Rock,2010,*
Green Island,2011,65
Monomoy,2011,325
Muskeget,2011,3173
Nomans,2011,1
Seal Island,2011,**
Wooden Ball,2011,*
Great Point,2011,*
Matinicus Rock,2011,112
Green Island,2012,41
Monomoy,2012,**
Muskeget,2012,2831
Nomans,2012,8
Seal Island,2012,**
Wooden Ball,2012,*
Great Point,2012,*
Matinicus Rock,2012,**
Green Island,2013,*
Monomoy,2013,633
Muskeget,2013,2750
Nomans,2013,4
Seal Island,2013,**
Wooden Ball,2013,*
Great Point,2013,*
Matinicus Rock,2013,*
Green Island,2014,30
Monomoy,2014,507
Muskeget,2014,3073
Nomans,2014,16
Seal Island,2014,**
Wooden Ball,2014,*
Great Point,2014,*
Matinicus Rock,2014,201
Green Island,2015,33
Monomoy,2015,768
Muskeget,2015,**
Nomans,2015,23
Seal Island,2015,**
Wooden Ball,2015,185
Great Point,2015,*
Matinicus Rock,2015,182
Green Island,2016,34
Monomoy,2016,935
Muskeget,2016,3787
Nomans,2016,32
Seal Island,2016,1043
Wooden Ball,2016,284
Great Point,2016,*
Matinicus Rock,2016,193
Green Island,2017,*
Monomoy,2017,*
Muskeget,2017,*
Nomans,2017,*
Seal Island,2017,*
Wooden Ball,2017,*
Great Point,2017,*
Matinicus Rock,2017,*
Green Island,2018,*
Monomoy,2018,*
Muskeget,2018,*
Nomans,2018,*
Seal Island,2018,*
Wooden Ball,2018,*
Great Point,2018,11
Matinicus Rock,2018,*
Green Island,2019,16
Monomoy,2019,1190
Muskeget,2019,3532
Nomans,2019,103
Seal Island,2019,854
Wooden Ball,2019,360
Great Point,2019,5
Matinicus Rock,2019,193
