Site,Year,Pups,LAT,LON
Great Point,2005,*,41.3922,-70.0508
Great Point,2006,*,41.3922,-70.0508
Great Point,2007,*,41.3922,-70.0508
Great Point,2008,*,41.3922,-70.0508
Great Point,2009,*,41.3922,-70.0508
Great Point,2010,*,41.3922,-70.0508
Great Point,2011,*,41.3922,-70.0508
Great Point,2012,*,41.3922,-70.0508
Great Point,2013,*,41.3922,-70.0508
Great Point,2014,*,41.3922,-70.0508
Great Point,2015,*,41.3922,-70.0508
Great Point,2016,*,41.3922,-70.0508
Great Point,2017,*,41.3922,-70.0508
Great Point,2018,11,41.3922,-70.0508
Great Point,2019,5,41.3922,-70.0508
Green Island,2005,33,44.157,-68.34
Green Island,2006,43,44.157,-68.34
Green Island,2007,57,44.157,-68.34
Green Island,2008,59,44.157,-68.34
Green Island,2009,48,44.157,-68.34
Green Island,2010,51,44.157,-68.34
Green Island,2011,65,44.157,-68.34
Green Island,2012,41,44.157,-68.34
Green Island,2013,*,44.157,-68.34
Green Island,2014,30,44.157,-68.34
Green Island,2015,33,44.157,-68.34
Green Island,2016,34,44.157,-68.34
Green Island,2017,*,44.157,-68.34
Green Island,2018,*,44.157,-68.34
Green Island,2019,16,44.157,-68.34
Matinicus Rock,2005,*,43.783758,-68.854921
Matinicus Rock,2006,*,43.783758,-68.854921
Matinicus Rock,2007,*,43.783758,-68.854921
Matinicus Rock,2008,*,43.783758,-68.854921
Matinicus Rock,2009,*,43.783758,-68.854921
Matinicus Rock,2010,*,43.783758,-68.854921
Matinicus Rock,2011,112,43.783758,-68.854921
Matinicus Rock,2012,**,43.783758,-68.854921
Matinicus Rock,2013,*,43.783758,-68.854921
Matinicus Rock,2014,201,43.783758,-68.854921
Matinicus Rock,2015,182,43.783758,-68.854921
Matinicus Rock,2016,193,43.783758,-68.854921
Matinicus Rock,2017,*,43.783758,-68.854921
Matinicus Rock,2018,*,43.783758,-68.854921
Matinicus Rock,2019,193,43.783758,-68.854921
Monomoy Island,2005,1,41.545,-70.005
Monomoy Island,2006,8,41.545,-70.005
Monomoy Island,2007,9,41.545,-70.005
Monomoy Island,2008,2,41.545,-70.005
Monomoy Island,2009,68,41.545,-70.005
Monomoy Island,2010,154,41.545,-70.005
Monomoy Island,2011,325,41.545,-70.005
Monomoy Island,2012,**,41.545,-70.005
Monomoy Island,2013,633,41.545,-70.005
Monomoy Island,2014,507,41.545,-70.005
Monomoy Island,2015,768,41.545,-70.005
Monomoy Island,2016,935,41.545,-70.005
Monomoy Island,2017,*,41.545,-70.005
Monomoy Island,2018,*,41.545,-70.005
Monomoy Island,2019,1190,41.545,-70.005
Muskeget Island,2005,992,41.335,-70.30166667
Muskeget Island,2006,868,41.335,-70.30166667
Muskeget Island,2007,1704,41.335,-70.30166667
Muskeget Island,2008,2095,41.335,-70.30166667
Muskeget Island,2009,**,41.335,-70.30166667
Muskeget Island,2010,1841,41.335,-70.30166667
Muskeget Island,2011,3173,41.335,-70.30166667
Muskeget Island,2012,2831,41.335,-70.30166667
Muskeget Island,2013,2750,41.335,-70.30166667
Muskeget Island,2014,3073,41.335,-70.30166667
Muskeget Island,2015,**,41.335,-70.30166667
Muskeget Island,2016,3787,41.335,-70.30166667
Muskeget Island,2017,*,41.335,-70.30166667
Muskeget Island,2018,*,41.335,-70.30166667
Muskeget Island,2019,3532,41.335,-70.30166667
Nomans Island,2005,*,41.26333333,-70.81166667
Nomans Island,2006,*,41.26333333,-70.81166667
Nomans Island,2007,*,41.26333333,-70.81166667
Nomans Island,2008,*,41.26333333,-70.81166667
Nomans Island,2009,*,41.26333333,-70.81166667
Nomans Island,2010,*,41.26333333,-70.81166667
Nomans Island,2011,1,41.26333333,-70.81166667
Nomans Island,2012,8,41.26333333,-70.81166667
Nomans Island,2013,4,41.26333333,-70.81166667
Nomans Island,2014,16,41.26333333,-70.81166667
Nomans Island,2015,23,41.26333333,-70.81166667
Nomans Island,2016,32,41.26333333,-70.81166667
Nomans Island,2017,*,41.26333333,-70.81166667
Nomans Island,2018,*,41.26333333,-70.81166667
Nomans Island,2019,103,41.26333333,-70.81166667
Seal Island,2005,365,43.88333333,-68.73333333
Seal Island,2006,239,43.88333333,-68.73333333
Seal Island,2007,364,43.88333333,-68.73333333
Seal Island,2008,466,43.88333333,-68.73333333
Seal Island,2009,**,43.88333333,-68.73333333
Seal Island,2010,**,43.88333333,-68.73333333
Seal Island,2011,**,43.88333333,-68.73333333
Seal Island,2012,**,43.88333333,-68.73333333
Seal Island,2013,**,43.88333333,-68.73333333
Seal Island,2014,**,43.88333333,-68.73333333
Seal Island,2015,**,43.88333333,-68.73333333
Seal Island,2016,1043,43.88333333,-68.73333333
Seal Island,2017,*,43.88333333,-68.73333333
Seal Island,2018,*,43.88333333,-68.73333333
Seal Island,2019,854,43.88333333,-68.73333333
Wooden Ball,2005,*,43.854695,-68.8187
Wooden Ball,2006,*,43.854695,-68.8187
Wooden Ball,2007,*,43.854695,-68.8187
Wooden Ball,2008,*,43.854695,-68.8187
Wooden Ball,2009,*,43.854695,-68.8187
Wooden Ball,2010,*,43.854695,-68.8187
Wooden Ball,2011,*,43.854695,-68.8187
Wooden Ball,2012,*,43.854695,-68.8187
Wooden Ball,2013,*,43.854695,-68.8187
Wooden Ball,2014,*,43.854695,-68.8187
Wooden Ball,2015,185,43.854695,-68.8187
Wooden Ball,2016,284,43.854695,-68.8187
Wooden Ball,2017,*,43.854695,-68.8187
Wooden Ball,2018,*,43.854695,-68.8187
Wooden Ball,2019,360,43.854695,-68.8187
