"Bayunit","Year","Estimate.Nonpups","SD.Nonpups","Estimate.Pups","SD.Pups","BAYNUM","BAYDESC"
"BHBIH",1993,651,118.9,35,8.2,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2014,614.5,191.4,105,96.5,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2007,588.5,205.7,106,94.2,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2006,587,197.2,97,80.6,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",1998,544,179.5,93.5,93.8,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2005,599,196.9,103,86.8,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2012,717,74.4,195,19.3,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2011,640.5,187.7,107.5,82.6,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2003,566,185,106,84.3,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2010,614,201.9,108,86.7,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",1995,580,183.8,96,86.3,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2016,629,199.2,106,90.7,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2008,601,215.7,103,90.1,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2015,616,198.1,110,97.8,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2000,532,160.8,99,81.1,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2017,639,174.2,110.5,101.4,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2013,637,192.9,105.5,90,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",1997,493,96.9,45,9.6,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",1996,569.5,172,91,82.9,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2018,701,47.9,237,21.7,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",1994,610,184.2,94,93.3,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2001,453,39.3,150,17.5,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2002,531.5,159.8,107,83.2,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",1999,539,184.1,96.5,84.3,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2004,583.5,197,102,85.4,10,"Blue Hill Bay, Isle au Haut"
"BHBIH",2009,603,202.9,99,96.7,10,"Blue Hill Bay, Isle au Haut"
"BHBIHE",2014,763,244.9,124,103.1,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2005,763,265,117,111.5,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",1998,763,229.3,115,101.5,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2015,756,243.8,122,102.3,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2000,835,247.8,122.5,111.5,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",1999,805,253,115,95.3,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2006,777.5,269.8,124,104.8,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2010,772,262,121,111.9,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2018,811,56.2,180,19.1,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2003,799.5,260.3,128,108.6,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2001,945.5,92.1,324,24.9,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2013,761,228.9,120,99.6,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2009,768,263,124.5,103.5,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2008,757,265.8,120,99.4,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2011,773,225.6,128,110.6,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",1993,543,121.1,39,8.9,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",1996,744.5,237.4,110,107.8,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2007,760,259.5,119,103.1,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2016,784.5,235.3,123,109.3,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",1994,677,221.5,108,99,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2004,783,256.8,128,109.2,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2012,771,78.5,237,21.7,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",1997,767.5,135.1,43,9.2,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",1995,723,239.4,107,95.8,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2017,786,223.6,120,107.7,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHE",2002,836.5,234.5,124.5,115.8,23,"Blue Hill Bay, Isle au Haut, East"
"BHBIHW",1993,430,81.2,16,5.3,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2008,419,146.8,48.5,42.4,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2013,424,125.3,51,44,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2015,424,136.4,49,44.1,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",1998,392,124.5,47,36.8,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2006,418,141.9,47,42.6,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2018,475,39.5,96,13.7,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2003,421.5,135.7,52,47.2,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",1999,401,123.5,47,38.2,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2011,420.5,127,50,41.5,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2016,442.5,138.4,51,40.7,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",1994,415,122.4,42.5,42.8,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2014,419,131.1,49,43.1,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2007,415,143.6,47,42,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2012,420,47.9,86,13,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2004,415.5,147,48,43.5,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2001,400,42.7,107,14.6,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2000,413,116.7,51,42.2,24,"Blue Hill Bay, Isle au Haut, West"
