,BAYCODE,lat,long,Year,Estimate.Nonpups,SE.Nonpups,Estimate.Pups,SE.Pups,BAYNUM,BAYDESC
1,BHBIH,44.11438,-68.4708,1993,1067,201.9,58,14,10,"Blue Hill Bay, Isle au Haut"
5,BHBIH,44.11438,-68.4708,1994,1000,305.9,157,155.7,10,"Blue Hill Bay, Isle au Haut"
3,BHBIH,44.11438,-68.4708,1995,951,304.9,160,144,10,"Blue Hill Bay, Isle au Haut"
8,BHBIH,44.11438,-68.4708,1996,934,285.7,152,138.4,10,"Blue Hill Bay, Isle au Haut"
16,BHBIH,44.11438,-68.4708,1997,808,163.7,75,16.4,10,"Blue Hill Bay, Isle au Haut"
2,BHBIH,44.11438,-68.4708,1998,892,297.5,156,156.5,10,"Blue Hill Bay, Isle au Haut"
7,BHBIH,44.11438,-68.4708,1999,884,304.9,161,140.7,10,"Blue Hill Bay, Isle au Haut"
4,BHBIH,44.11438,-68.4708,2000,872,267.1,165,135.4,10,"Blue Hill Bay, Isle au Haut"
9,BHBIH,44.11438,-68.4708,2001,743,74.1,250,31.6,10,"Blue Hill Bay, Isle au Haut"
18,BHBIH,44.11438,-68.4708,2002,871,265.4,178,138.9,10,"Blue Hill Bay, Isle au Haut"
22,BHBIH,44.11438,-68.4708,2003,928,306.7,177,140.8,10,"Blue Hill Bay, Isle au Haut"
24,BHBIH,44.11438,-68.4708,2004,957,326.4,170,142.6,10,"Blue Hill Bay, Isle au Haut"
26,BHBIH,44.11438,-68.4708,2005,982,326.4,172,144.9,10,"Blue Hill Bay, Isle au Haut"
11,BHBIH,44.11438,-68.4708,2006,962,326.7,162,134.6,10,"Blue Hill Bay, Isle au Haut"
20,BHBIH,44.11438,-68.4708,2007,965,340.5,177,157.2,10,"Blue Hill Bay, Isle au Haut"
14,BHBIH,44.11438,-68.4708,2008,985,356.9,172,150.4,10,"Blue Hill Bay, Isle au Haut"
25,BHBIH,44.11438,-68.4708,2009,989,336.2,165,161.4,10,"Blue Hill Bay, Isle au Haut"
12,BHBIH,44.11438,-68.4708,2010,1007,334.7,180,144.8,10,"Blue Hill Bay, Isle au Haut"
