SURVEYDATE,HAULOUTSITE,HG,PV,HGORPV,TOTALSEALS,HAULOUTSITECODE,HAULOUTAREA,HAULOUTAREACODE,LAT,LON
1/30/2014,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
2/25/2014,Bug Light (Duxbury Light),0,8,0,8,17,Plymouth,8,41.99,-70.64833333
3/28/2014,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
4/14/2014,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
5/13/2014,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
6/11/2014,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
7/10/2014,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
8/8/2014,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
9/5/2014,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
10/6/2014,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
11/4/2014,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
12/2/2014,Bug Light (Duxbury Light),0,5,0,5,17,Plymouth,8,41.99,-70.64833333
2/1/2015,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
2/24/2015,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
3/24/2015,Bug Light (Duxbury Light),0,9,0,9,17,Plymouth,8,41.99,-70.64833333
4/15/2015,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
5/13/2015,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
6/10/2015,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
7/29/2015,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
8/26/2015,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
9/24/2015,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
10/24/2015,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
11/7/2015,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
12/7/2015,Bug Light (Duxbury Light),0,0,0,0,17,Plymouth,8,41.99,-70.64833333
1/30/2014,Chatham Harbor,0,45,0,45,13,Chatham,6,41.68333333,-69.94166667
2/25/2014,Chatham Harbor,0,936,0,936,13,Chatham,6,41.68333333,-69.94166667
3/28/2014,Chatham Harbor,0,666,0,666,13,Chatham,6,41.68333333,-69.94166667
4/14/2014,Chatham Harbor,0,511,0,511,13,Chatham,6,41.68333333,-69.94166667
5/13/2014,Chatham Harbor,0,65,0,65,13,Chatham,6,41.68333333,-69.94166667
6/11/2014,Chatham Harbor,387,0,2,389,13,Chatham,6,41.68333333,-69.94166667
7/10/2014,Chatham Harbor,1173,0,0,1173,13,Chatham,6,41.68333333,-69.94166667
8/8/2014,Chatham Harbor,207,0,0,207,13,Chatham,6,41.68333333,-69.94166667
9/5/2014,Chatham Harbor,831,0,0,831,13,Chatham,6,41.68333333,-69.94166667
10/6/2014,Chatham Harbor,77,0,0,77,13,Chatham,6,41.68333333,-69.94166667
