Site,Year,Pups
Monomoy,2004,4
Monomoy,2005,1
Monomoy,2006,8
Monomoy,2007,9
Monomoy,2008,2
Monomoy,2009,68
Monomoy,2010,154
Monomoy,2011,325
Monomoy,2012,not surveyed
Monomoy,2013,633
Monomoy,2014,507
Monomoy,2015,768
Monomoy,2016,935
Monomoy,2017,not surveyed
Monomoy,2018,not surveyed
Monomoy,2019,1190
Monomoy,2020,not surveyed
Monomoy,2021,1392
Muskeget,2000,633
Muskeget,2001,not surveyed
Muskeget,2002,883
Muskeget,2003,509
Muskeget,2004,824
Muskeget,2005,992
Muskeget,2006,868
Muskeget,2007,1704
Muskeget,2008,2095
Muskeget,2009,not surveyed
Muskeget,2010,1811
Muskeget,2011,3173
Muskeget,2012,2831
Muskeget,2013,2750
Muskeget,2014,3073
Muskeget,2015,not surveyed
Muskeget,2016,3787
Muskeget,2017,not surveyed
Muskeget,2018,not surveyed
Muskeget,2019,3532
Muskeget,2020,not surveyed
Muskeget,2021,3800
Seal Island,2000,77
Seal Island,2001,91
Seal Island,2002,
Seal Island,2003,147
Seal Island,2004,150
Seal Island,2005,365
Seal Island,2006,239
Seal Island,2007,364
Seal Island,2008,466
Seal Island,2009,
Seal Island,2010,
Seal Island,2011,
Seal Island,2012,
Seal Island,2013,
Seal Island,2014,
Seal Island,2015,
Seal Island,2016,1043
Seal Island,2017,
Seal Island,2018,
Seal Island,2019,854
Seal Island,2020,
Seal Island,2021,820
Nomans,2000,
Nomans,2001,
Nomans,2002,
Nomans,2003,
Nomans,2004,
Nomans,2005,
Nomans,2006,
Nomans,2007,
Nomans,2008,
Nomans,2009,0
Nomans,2010,0
Nomans,2011,1
Nomans,2012,8
Nomans,2013,4
Nomans,2014,16
Nomans,2015,23
Nomans,2016,32
Nomans,2017,
Nomans,2018,
Nomans,2019,106
Nomans,2020,
Nomans,2021,119
Green Island,2000,
Green Island,2001,
Green Island,2002,34
Green Island,2003,
Green Island,2004,26
Green Island,2005,33
Green Island,2006,43
Green Island,2007,57
Green Island,2008,59
Green Island,2009,48
Green Island,2010,51
Green Island,2011,65
Green Island,2012,41
Green Island,2013,
Green Island,2014,30
Green Island,2015,33
Green Island,2016,34
Green Island,2017,
Green Island,2018,
Green Island,2019,21
Green Island,2020,
Green Island,2021,12
Wooden Ball,2000,
Wooden Ball,2001,
Wooden Ball,2002,
Wooden Ball,2003,
Wooden Ball,2004,
Wooden Ball,2005,
Wooden Ball,2006,
Wooden Ball,2007,
Wooden Ball,2008,
Wooden Ball,2009,
Wooden Ball,2010,
Wooden Ball,2011,
Wooden Ball,2012,
Wooden Ball,2013,
Wooden Ball,2014,
Wooden Ball,2015,185
Wooden Ball,2016,284
Wooden Ball,2017,
Wooden Ball,2018,
Wooden Ball,2019,360
Wooden Ball,2020,
Wooden Ball,2021,605
