Year,Bayunit,Estimate.Nonpups,SD.Nonpups,Estimate.Pups,SD.Pups
1993,BHBIH,651,118.9,35,8.2
1993,BHBIHE,543,121.1,39,8.9
1993,BHBIHW,430,81.2,16,5.3
1993,BHBMR,2882,551.5,479,32.1
1993,BHBSI,1867.5,310.2,458,30.3
1993,BHBUP,1273.5,241.3,194,19.6
1993,BOSHB,3339.5,635.2,137,15.9
1993,CASB,2097.5,365.9,185,18.9
1993,CASBE,606,109.9,46,9.9
1993,CELPT,1449,309.7,30,7.5
1993,COBSB,244,59.8,38,8.6
1993,EB,1552,279.1,308,24.9
1993,ENGB,473,90.0,77,12.8
1993,FBMDI,1425,267.6,143,16.3
1993,MACHB,1287,261.8,236,21.3
1993,MUSCB,2713,485.2,255.5,23.7
1993,OUTIS,2398.5,363.1,97,13.5
1993,PBEA,2349,413.4,332,25.8
1993,PBMC,2024,353.6,326,25.5
1993,PBMW,1371,249.1,161,18.5
1993,PBUP,261,65.6,18,5.8
1993,PBVL,624.5,130.7,65,11.1
1993,PBVLW,247,45.0,38,8.3
1993,PNDB,1687,324.6,228,21.9
1993,WB,1489,242.7,335,26.7
1994,BHBIH,610,184.2,94,93.3
1994,BHBIHE,677,221.5,108,99.0
1994,BHBIHW,415,122.4,42.5,42.8
1994,BHBMR,3052,1016.2,718,639.8
1994,BHBSI,1554.5,492.4,408,326.5
1994,BHBUP,1328.5,447.3,337.5,301.0
1994,BOSHB,3677,1129.1,234,205.5
1994,CASB,1971.5,596.2,320,289.2
1994,CASBE,606,194.5,37,30.4
1994,CELPT,1765.5,614.1,53,47.1
1994,COBSB,293.5,105.3,55,54.5
1994,EB,1560.5,448.5,490.5,442.9
1994,ENGB,468.5,152.6,94,87.7
1994,FBMDI,1576.5,471.3,226,195.9
1994,MACHB,1443.5,475.2,301,270.3
1994,MUSCB,2806,889.2,426,400.5
1994,OUTIS,1611,506.8,60,50.0
1994,PBEA,2429,763.7,604,566.5
1994,PBMC,1802.5,571.7,318,239.2
1994,PBMW,1320.5,420.9,233,205.1
1994,PBUP,334,121.7,25,25.5
1994,PBVL,634.5,195.6,118,114.9
1994,PBVLW,219,72.0,29,23.7
1994,PNDB,1754,547.7,275.5,266.8
1994,WB,1487,455.4,400,328.7
1995,BHBIH,580,183.8,96,86.3
1995,BHBIHE,723,239.4,107,95.8
1995,BHBIHW,396,126.1,44.5,42.7
1995,BHBMR,3064,1072.6,711.5,655.0
1995,BHBSI,1436,466.7,401.5,394.8
1995,BHBUP,1413.5,443.8,343.5,293.2
1995,BOSHB,3922.5,1146.0,252,210.4
1995,CASB,1986.5,631.0,324,321.1
1995,CASBE,588.5,205.9,37,32.4
1995,CELPT,1905,662.2,53,48.6
1995,COBSB,304,108.7,61,48.6
1995,EB,1598.5,496.8,487,415.5
1995,ENGB,462.5,156.6,100,91.9
1995,FBMDI,1647.5,515.2,236,212.9
1995,MACHB,1496,492.7,302.5,271.8
1995,MUSCB,2749.5,864.2,431,394.6
1995,OUTIS,1392.5,453.6,58,59.1
1995,PBEA,2400.5,765.2,604,512.8
1995,PBMC,1694,566.3,305.5,283.3
1995,PBMW,1288.5,435.4,236,230.9
1995,PBUP,360,126.5,24,24.8
1995,PBVL,626,211.3,119,102.2
1995,PBVLW,215,72.0,27,26.8
1995,PNDB,1704,538.4,297,294.8
1995,WB,1507.5,465.2,404.5,364.9
1996,BHBIH,569.5,172.0,91,82.9
1996,BHBIHE,744.5,237.4,110,107.8
1996,BHBIHW,390,121.9,44,46.0
1996,BHBMR,3100,1020.5,723.5,551.4
1996,BHBSI,1384.5,439.1,422.5,342.6
1996,BHBUP,1440.5,474.4,361,291.2
1996,BOSHB,4197.5,1327.1,246.5,228.4
1996,CASB,2086.5,633.2,312.5,313.0
1996,CASBE,537,177.0,35,32.1
1996,CELPT,2004,674.9,55,51.8
1996,COBSB,305,112.5,58,53.6
1996,EB,1664,490.3,504.5,472.6
1996,ENGB,449.5,143.5,102,98.4
1996,FBMDI,1731.5,501.7,236,207.1
1996,MACHB,1472,480.1,321,259.0
1996,MUSCB,2718,831.1,418,360.2
1996,OUTIS,1196.5,415.8,56,48.3
1996,PBEA,2309.5,719.5,648,587.0
1996,PBMC,1557.5,500.1,308,258.7
1996,PBMW,1272.5,394.0,225,200.4
1996,PBUP,371,122.9,24,26.0
1996,PBVL,595,186.0,123,106.0
1996,PBVLW,206,65.6,28,22.1
1996,PNDB,1722,548.0,280,246.3
1996,WB,1522,480.6,418,352.1
1997,BHBIH,493,96.9,45,9.6
1997,BHBIHE,767.5,135.1,43,9.2
